Species,Genus,Subfamily,Family,Order,Class,Phylum,"Atlantic, Northwest",Common,BodyShape,Fresh,Brack,Saltwater,DemersPelag,DemersPelagRef,AnaCat,MigratRef,DepthRangeShallow,DepthRangeDeep,DepthRangeRef,DepthRangeComShallow,DepthRangeComDeep,DepthComRef,VerticalMove,VerticalMoveRef,LatMin,LatMax,LatRef,LongevityWild,LongevityWildRef,Length,LTypeMaxM,MaxLengthRef,CommonLength,LTypeComM,CommonLengthF,LTypeComF,CommonLengthRef,Weight,WeightFemale,MaxWeightRef,MainCatchingMethod,II,MSeines,MGillnets,MCastnets,MTraps,MSpears,MTrawls,MDredges,MLiftnets,MHooksLines,MOther,Mobility,MobilityRef,FecundityMin,FecundityMax,FecundityMean,FecundityType,FecundityRef,SpawningSeason,SpawnRef,LarvalStrategy,LarvalRef,LarvalLength,LLRef,MinPLD,MaxPLD,AvePLD,PLDRef,LarvalVertical,LVRef,MinDispersal,MaxDispersal,AverageDispersal,ADRef,Rafting,RaftingRef,Schooling,SchoolingRef,Notes,Comments,Website Link
Argentina silus,Argentina,NA,Argentinidae,Osmeriformes,Actinopterygii,Chordata,native,Greater argentine,elongated,0,0,-1,bathydemersal,FB51243,oceanodromous,FB51243,140,1440,FB117245,55,550,FB117245,Yes,NA,42°N,80°N,FB4773,35,FB35388,70,SL,FB35388,NA,NA,NA,NA,NA,NA,NA,NA,seines,NA,0,0,0,0,0,-1,0,0,-1,0,Active,FB4773,4478,16284,NA,Absolute,Clarke2003,Spring,FB4773,pelagic,FB68,7.5,FB68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,schooling,FB5951,"no fecundity tab, no canadian localities for spawning, unsure about larval strategy, larval min and max are available, spawns april to july","Bathypelagic (Ref. 58426).  Prefer depths of 182.8-255.9 m, temperature 7-10<b0>C and mean salinity 34 ppt (Ref. 5951).  Probably form schools close to the bottom.  Feeds on planktonic invertebrates including euphausiids, amphipods (arrow worms, krill and <i>Thermisto</i> (Ref. 5951)), chaetognaths, squids and ctenophores, also small fishes.  Spawns from April to July (Ref. 4773).  Growth is slow.  Eggs and young are pelagic at depths of 400-500m.  Used fresh or in fish meal production (Ref. 35388).",https://www.fishbase.se/summary/Argentina-silus.html
Argentina striata,Argentina,NA,Argentinidae,Osmeriformes,Actinopterygii,Chordata,native,Striated argentine,elongated,0,0,-1,bathypelagic,FB57911,NA,NA,100,600,FB57911,100,200,FB47377,Yes,NA,35°S,48°N,FB57911,NA,NA,24,TL,FB57911,15,TL,NA,NA,FB5217,NA,NA,NA,trawls,NA,0,0,0,0,0,0,0,0,0,0,Active,FB7251,NA,NA,NA,NA,NA,NA,NA,pelagic,FB68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no tab for swim type, fecundity and spawning, unsure larvae strategy",Found on soft bottoms.,https://www.fishbase.se/summary/Argentina-striata.html
Aspidophoroides monopterygius,Aspidophoroides,Anoplagoninae,Agonidae,Scorpaeniformes,Actinopterygii,Chordata,native,Alligatorfish,elongated,0,0,-1,demersal,FB57178,NA,NA,0,695,FB57178,60,150,FB56557,Yes,NA,42°N,84°N,FB57302,NA,NA,22,TL,FB56591,14.2,TL,NA,NA,FB56591,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Active,FB7251,203,3255,1118,Absolute,Arbour2010,Fall,Arbour2010,demersal,Suthers1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no tab for swim type, fecundity and spawning, unsure larvae strategy","Occurs primarily in the lower sections of the shelf all year (depths of 80-200 m) (Ref. 41410).  Inhabits sand and mud bottoms, with temperature range of -1.07 to 2.52<b0>C (Ref. 5951).  Feeds on crustaceans and bottom fauna (Ref. 58426).",https://www.fishbase.se/summary/Aspidophoroides-monopterygius.html
Aspidophoroides olrikii,Aspidophoroides,Anoplagoninae,Agonidae,Scorpaeniformes,Actinopterygii,Chordata,native,Arctic alligatorfish,elongated,0,-1,-1,demersal,FB117245,NA,NA,0,632,FB117245,0,632,NA,Yes,NA,51°N,81°N,FB117245,NA,NA,8.6,TL,FB4700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Active,FB4700,NA,NA,NA,NA,NA,NA,NA,pelagic,FB35543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"no tab for swim type, fecundity and spawning, unsure larvae strategy","Found on sand and mud bottoms, at temperatures mostly below 0<b0>C, rarely to 2-3<b0>C or more and salinities of 33-35 ppt (Ref. 4700).  Benthic (Ref. 58426).  Minimum depth reported at 7m (Ref. 5951).  Feeds on small amphipods, ostracods and nemertine worms (Ref. 4700).",https://www.fishbase.se/summary/Aspidophoroides-olrikii.html
Bathylagus euryops,Bathylagus,NA,Bathylagidae,Osmeriformes,Actinopterygii,Chordata,native,Goiter blacksmelt,elongated,0,0,-1,bathypelagic,FB58018,NA,NA,500,3237,FB58018,500,3237,NA,Yes,NA,35°N,70°N,FB6345,NA,NA,13,TL,FB33729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Active,FB6345,NA,NA,NA,NA,NA,NA,NA,pelagic,FB6345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,shoaling,FB6345,"no tab for swim type, fecundity and spawning, unsure larvae strategy",Bathypelagic (Ref. 58426).  Sometimes caught in large aggregations.  Eggs and larvae are pelagic (Ref. 6345).  Feeds on small crustaceans (Ref. 5951).,https://www.fishbase.se/summary/Bathylagus-euryops.html
Bathyraja spinicauda,Bathyraja,NA,Arhynchobatidae,Rajiformes,Elasmobranchii,Chordata,native,Spinytail skate,other,0,0,-1,bathydemersal,FB58426,NA,NA,140,1463,FB58426,165,255,FB7251,Yes,NA,42°N,80°N,FB27314,NA,NA,170,TL,FB3167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,Active,FB9574,NA,NA,NA,NA,NA,NA,NA,direct,FB3167,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,NA,shoaling,FB94893,"no tab for fecundity and larvae, spawning only has greenland locality","An inhabitant of deep, cold water (Ref. 7251).  Benthic (Ref. 58426).  Feed on all kinds of bottom animals (Ref. 3167). Oviparous (Ref. 50449). Distinct pairing with embrace. Young may tend to follow large objects, such as their mother (Ref. 205). Eggs are oblong capsules with stiff pointed horns at the corners deposited in sandy or muddy flats (Ref. 205). Egg capsules are 13.4-16.5 cm long and 8.0-10.2 cm wide (Ref. 41251, 41301).",https://www.fishbase.se/summary/Bathyraja-spinicauda.html
Boreogadus saida,Boreogadus,NA,Gadidae,Gadiformes,Actinopterygii,Chordata,native,Polar cod,elongated,0,-1,-1,demersal,FB12074,oceanodromous,FB51243,0,1383,FB58426,0,400,FB1371,Yes,NA,52°N,87°N,FB1371,7,FB1371,40,TL,FB1371,25,TL,NA,NA,FB1371,NA,NA,NA,trawls,unspecified bottom trawls (TB),-1,-1,0,0,0,0,0,0,0,0,Active,FB9574,NA,NA,NA,NA,NA,NA,NA,pelagic,FB27547,5,FB27547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,FB12074,"fecundity and spawning have miltiple localities but none in canada, unsure about larval strategy and has min and max","Occurs in coastal habitats during summer and winter (Ref. 1371).  Cryopelagic or epontic, from surface down to 1383 m (Ref. 58426).  In the Beaufort Sea, it may also be found in brackish lagoons and in almost fresh water in river mouths (Ref. 1371).  Although associated with the occurrence of ice (White Sea), it is present in ice-free near-shore waters (Alaska) (Ref. 1371).  Onshore-offshore movements are associated with spawning and movements of the ice (Ref. 27547).  Feeds mostly on epibenthic mysids, also amphipods, copepods and fishes (Ref. 1371).  Also caught with mid-water trawls (Ref. 1371).  Utilized as fishmeal and source of oil (Ref. 1371).  Euryhaline and eurythermic.",https://www.fishbase.se/summary/Boreogadus-saida.html
Brosme brosme,Brosme,NA,Lotidae,Gadiformes,Actinopterygii,Chordata,native,Cusk,elongated,0,0,-1,demersal,FB51243,oceanodromous,FB51243,18,1000,FB1371,18,549,FB1371,Yes,NA,37°N,83°N,FB1371,20,FB1371,120,TL,FB9988,50,TL,NA,NA,FB1371,30000,NA,FB9988,seines,NA,-1,0,0,0,0,-1,0,0,-1,0,Active,FB9574,2000000,0,NA,Absolute,FB1371,Spring,FB1371,pelagic,FB37,4.5,FB37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,both,FB9988,"fecundity and spawning have multiple localities and one of them is western and eastern atlantic, usnure about larval strategy and some data on size is available, spawning season is april to july","Found in small shoals on rough, rock, gravel, or pebble bottoms.  Generally keeps far from the shore, near the bottom, mostly between 150 and 450 m in the northeastern Atlantic, and between 18 and 550 m in the northwestern Atlantic.  Occurs at a temperature range of 0<b0>-10<b0> C (Ref. 9988).  Solitary or in small groups.  Feeds on crustaceans and shellfishes, benthic fishes (flatfishes and gurnard) and even on starfishes.  Preyed upon by seals (Ref. 9988).  Sold fresh, frozen as fillets or dried salted.  Eaten steamed, fried, broiled, boiled, microwaved and baked (Ref. 9988).",https://www.fishbase.se/summary/Brosme-brosme.html
Centroscyllium fabricii,Centroscyllium,NA,Etmopteridae,Squaliformes,Elasmobranchii,Chordata,native,Black dogfish,elongated,0,0,-1,bathydemersal,FB58839,NA,NA,NA,NA,NA,180,2250,FB117245,Yes,FB247,57°S,68°N,FB5578,NA,NA,107,TL,NA,84,TL,70,TL,FB247,NA,NA,NA,trawls,unspecified bottom trawls (TB),0,0,0,0,0,0,0,0,-1,-1,Active,FB247,14,0,NA,Litter,FB247,NA,NA,direct,FB205,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,NA,Both,FB12473,"fecundity has 1 locality (boreal north atlantic), no tab for spawning and larvae","Found on the outermost continental shelves and upper slopes, mostly below 275 m (Ref. 247).  Epibenthic-pelagic (Ref. 58426).  At high latitudes, may move up to the surface especially during the winter (Ref. 247).  Bottom water temp.  Are from 3.5 to 4.5<b0>C, but sometimes down to 1<b0>C.  Segregation by sex and size as well as by movement into shallower water and by increase in school size is sometimes seen.  Feeds on crustaceans, cephalopods, jellyfish and small fishes.  Ovoviviparous (Ref. 205), with at least 14 pups in a litter (Ref. 247).  Has luminescent organs in skin.  May reach 107 cm.",https://www.fishbase.se/summary/Centroscyllium-fabricii.html
Centroscymnus coelolepis,Centroscymnus,NA,Somniosidae,Squaliformes,Elasmobranchii,Chordata,native,Portuguese dogfish,elongated,0,0,-1,bathydemersal,FB55584,NA,NA,128,3700,FB55584,400,2000,FB35388,Yes,NA,61°S,75°N,FB247,NA,NA,120,TL,FB6871,92,TL,NA,NA,FB247,NA,NA,NA,trawls,unspecified bottom trawls (TB),0,-1,0,0,0,0,0,0,-1,-1,Active,FB247,13,29,NA,Litter,FB247,NA,NA,direct,FB205,29,FB26346,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,NA,NA,NA,"fecundity has multiple localities and 1 locality labelled not specified, multiple localities for spawning but none in canada, no larvae or swim type tab","Found on continental slopes and abyssal plains (Ref. 6871).  Feeds mainly on fish (including sharks) and cephalopods (Ref. 6871), also gastropods and cetacean meat (Ref. 5578).  Ovoviviparous (Ref. 205),  with 13 to 29 young per litter, born at 27-31 cm (Ref. 26346); 32-35 cm TL in North Atlantic (Ref. 98315).  Utilized as fishmeal, dried and salted for human consumption, or as a source of squalene  (Ref. 6871).",https://www.fishbase.se/summary/Centroscymnus-coelolepis.html
Clupea harengus,Clupea,Clupeinae,Clupeidae,Clupeiformes,Actinopterygii,Chordata,native,Atlantic herring,fusiform / normal,0,-1,-1,benthopelagic,FB51243,oceanodromous,FB51243,0,364,FB58426,0,200,FB6683,Yes,FB89562,33°N,80°N,FB188,25,FB89560,45,SL,FB37032,30,SL,NA,NA,FB37032,1050,NA,FB6114,seines,NA,-1,-1,0,-1,0,-1,0,0,0,-1,Active,FB9574,0,59700,NA,Absolute,FB58602,Summer,Suthers1991,demersal,Suthers1991,7,FB37,46.9,550,160.6,Houde1989,Yes,"FB4608, FB4609",NA,NA,NA,NA,NA,NA,schooling  ,FB88171,"weight in excel (1050) does not match fishbase (1100), multiple localities for fecundity and spawning, larval strategy unsure and min and max lengths are available","Herring schools move between spawning and wintering grounds in coastal areas and feeding grounds in open water by following migration patterns learned from earlier year classes (Ref. 88171). Juveniles (up to 2 years) shoal close inshore, while adults are found more offshore (Ref. 6683). Adults spend the day in deeper water, but rise to shallower water at night (Ref. 89562). Light is an important factor in controlling their vertical distribution. A facultative zooplanktivorous filter-feeder, i.e., it can switch to filter-feeding if the food density and particle size are appropriate (Ref. 28664).  Feed mainly on copepods finding food by visual sense.  Herring schools often attract predators such as fish, birds, and marine mammals (Ref. 89563). Schooling, silvery sides, excellent hearing (capable of detecting frequencies between 30-4,000 Hz , Refs. 89391, 89564, 89566), and very fast escape response act as anti-predator devices (Ref. 28664).  The most important races in the East Atlantic are the winter-spawning Norwegian and Icelandic herring, the autumn spawning Icelandic and North Sea herring and the Baltic Sea herring. Utilized fresh, dried or salted, smoked, canned and frozen; can be fried, broiled, microwaved and baked (Ref. 9988).",https://www.fishbase.se/summary/Clupea-harengus.html
